currency,estruct,ecase,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
EUR,FAM,A1_2CH_67,MT	: 	1363.96 	1382.89 	1402.13 	1536.91 	1598.37 	1624.01 	552.56 	561.03 	574.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,NL	2979.50 	3008.76 	3011.54 	3084.19 	3014.18 	3143.78 	2836.02 	1830.00 	1754.00 	1715.71 	1715.71 	1704.69 	1658.45 	1604.00 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,NO	4179.83 	4473.08 	4671.51 	4480.71 	4362.66 	4001.01 	4246.26 	4356.02 	4346.85 	4367.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,PL	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	303.08 	231.84 	261.07 	257.56 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,PT	840.67 	840.67 	840.67 	840.67 	1096.58 	1130.38 	760.54 	653.28 	633.60 	615.12 	600.00 	695.76 	629.76 	593.77 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,RO	: 	228.11 	226.04 	237.79 	467.21 	452.84 	208.55 	402.96 	163.37 	336.71 	124.41 	150.20 	134.31 	143.05 	108.42 	124.81 	168.25 	147.99 	305.95 	: 
EUR,FAM,A1_2CH_67,SE	2967.52 	3120.85 	3101.99 	2990.03 	2830.99 	2486.09 	2745.65 	2854.02 	2852.70 	2456.31 	2498.82 	2498.85 	2488.78 	2463.51 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,SI	2716.16 	2716.16 	2716.16 	2722.63 	2700.06 	2653.86 	2571.95 	2244.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,SK	564.48 	554.40 	540.96 	528.24 	527.76 	510.00 	430.19 	430.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,TR	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
